id;start_date;end_date;language
1;2020-05-14T12:52:00;2020-05-14T10:42:15;SPANISH
2;2020-05-13T17:42:11;2020-05-14T12:46:36;SPANISH
3;2020-05-14T08:37:30;2020-05-13T19:11:39;FRENCH
4;2020-05-13T23:55:01;2020-05-14T11:26:27;FRENCH
5;2020-05-14T09:25:19;2020-05-14T14:12:18;FRENCH
6;2020-05-14T03:17:40;2020-05-14T15:25:54;FRENCH
7;2020-05-14T05:03:00;2020-05-13T22:53:51;FRENCH
8;2020-05-14T03:59:13;2020-05-14T14:15:21;SPANISH
9;2020-05-14T02:40:22;2020-05-13T23:21:45;SPANISH
10;2020-05-14T10:52:26;2020-05-13T21:26:56;SPANISH
