id;jh_pole_id;jh_pole_nazwa;jh_jakas_liczba;jh_data;jh_boolean;jh_long;jh_big_decimal;jh_double;jh_zoned_dt;jh_instant
1;80125;SMTP Branding Consultant;33754;2020-05-13;false;26852;31422;67752;2020-05-14T06:30:11;2020-05-13T19:06:57
2;48015;Burgs Bahamian Dollar Credit Card Account;85149;2020-05-13;true;35045;12066;69363;2020-05-14T10:08:31;2020-05-14T10:15:28
3;27831;Intelligent Cotton Shirt Checking Account;96418;2020-05-14;false;24550;70700;43512;2020-05-14T00:57:10;2020-05-14T11:47:00
4;25052;Virtual;89308;2020-05-14;true;25018;32360;50514;2020-05-14T15:36:45;2020-05-13T21:15:28
5;99355;quantifying;54652;2020-05-14;false;51926;13911;77229;2020-05-13T17:22:06;2020-05-14T13:00:54
6;90919;hybrid;85072;2020-05-13;false;76889;86257;16318;2020-05-14T03:37:45;2020-05-13T19:19:06
7;35974;Global Kids;54044;2020-05-13;true;38638;95803;56602;2020-05-14T04:59:48;2020-05-14T13:21:48
8;73517;experiences;58264;2020-05-13;false;26156;63373;31524;2020-05-14T15:03:00;2020-05-14T00:34:23
9;31347;CSS purple;80491;2020-05-14;false;36278;35706;24173;2020-05-13T20:29:42;2020-05-14T13:07:57
10;34226;invoice;78487;2020-05-13;false;83257;5473;27141;2020-05-14T01:57:32;2020-05-14T04:00:50
